time,avg_delay
1.500000000000000000e+01,5.455555555555555713e+00
1.600000000000000000e+01,5.511111111111111072e+00
1.700000000000000000e+01,5.422222222222222499e+00
1.800000000000000000e+01,5.266666666666666607e+00
1.900000000000000000e+01,5.411111111111111427e+00
2.000000000000000000e+01,5.299999999999999822e+00
2.100000000000000000e+01,4.966666666666666785e+00
2.200000000000000000e+01,4.599999999999999645e+00
2.300000000000000000e+01,4.455555555555555713e+00
2.400000000000000000e+01,4.544444444444444287e+00
2.500000000000000000e+01,4.611111111111110716e+00
2.600000000000000000e+01,4.599999999999999645e+00
2.700000000000000000e+01,4.611111111111110716e+00
2.800000000000000000e+01,4.588888888888888573e+00
2.900000000000000000e+01,4.566666666666666430e+00
3.000000000000000000e+01,4.644444444444444819e+00
3.100000000000000000e+01,4.722222222222222321e+00
3.200000000000000000e+01,4.688888888888889106e+00
3.300000000000000000e+01,4.544444444444444287e+00
3.400000000000000000e+01,4.511111111111111072e+00
3.500000000000000000e+01,4.322222222222221966e+00
3.600000000000000000e+01,3.933333333333333126e+00
3.700000000000000000e+01,3.677777777777777590e+00
3.800000000000000000e+01,3.677777777777777590e+00
3.900000000000000000e+01,3.666666666666666519e+00
4.000000000000000000e+01,3.700000000000000178e+00
4.100000000000000000e+01,3.688888888888889106e+00
4.200000000000000000e+01,3.722222222222222321e+00
4.300000000000000000e+01,3.744444444444444464e+00
4.400000000000000000e+01,3.655555555555555447e+00
4.500000000000000000e+01,3.544444444444444287e+00
4.600000000000000000e+01,3.422222222222222054e+00
4.700000000000000000e+01,3.266666666666666607e+00
4.800000000000000000e+01,3.222222222222222321e+00
4.900000000000000000e+01,2.988888888888888928e+00
5.000000000000000000e+01,2.911111111111110983e+00
5.100000000000000000e+01,2.955555555555555713e+00
5.200000000000000000e+01,3.022222222222222143e+00
5.300000000000000000e+01,2.922222222222222054e+00
5.400000000000000000e+01,2.744444444444444464e+00
5.500000000000000000e+01,2.600000000000000089e+00
5.600000000000000000e+01,2.566666666666666874e+00
5.700000000000000000e+01,2.555555555555555358e+00
5.800000000000000000e+01,2.522222222222222143e+00
5.900000000000000000e+01,2.477777777777777857e+00
6.000000000000000000e+01,2.333333333333333481e+00
6.100000000000000000e+01,2.255555555555555536e+00
6.200000000000000000e+01,2.100000000000000089e+00
6.300000000000000000e+01,1.944444444444444420e+00
6.400000000000000000e+01,1.833333333333333259e+00
6.500000000000000000e+01,1.855555555555555625e+00
6.600000000000000000e+01,1.844444444444444553e+00
6.700000000000000000e+01,1.944444444444444420e+00
6.800000000000000000e+01,1.988888888888888928e+00
6.900000000000000000e+01,2.044444444444444287e+00
7.000000000000000000e+01,2.044444444444444287e+00
7.100000000000000000e+01,2.077777777777777946e+00
7.200000000000000000e+01,2.055555555555555358e+00
7.300000000000000000e+01,2.022222222222222143e+00
7.400000000000000000e+01,1.988888888888888928e+00
7.500000000000000000e+01,1.899999999999999911e+00
7.600000000000000000e+01,1.844444444444444553e+00
7.700000000000000000e+01,1.800000000000000044e+00
7.800000000000000000e+01,1.800000000000000044e+00
7.900000000000000000e+01,1.800000000000000044e+00
8.000000000000000000e+01,1.844444444444444553e+00
8.100000000000000000e+01,1.833333333333333259e+00
8.200000000000000000e+01,1.788888888888888973e+00
8.300000000000000000e+01,1.833333333333333259e+00
8.400000000000000000e+01,1.899999999999999911e+00
8.500000000000000000e+01,1.899999999999999911e+00
8.600000000000000000e+01,1.944444444444444420e+00
8.700000000000000000e+01,1.933333333333333348e+00
8.800000000000000000e+01,1.944444444444444420e+00
8.900000000000000000e+01,2.000000000000000000e+00
9.000000000000000000e+01,5.099999999999999645e+00
9.100000000000000000e+01,8.122222222222221788e+00
9.200000000000000000e+01,1.113333333333333286e+01
9.300000000000000000e+01,1.414444444444444393e+01
9.400000000000000000e+01,1.717777777777777715e+01
9.500000000000000000e+01,2.014444444444444571e+01
9.600000000000000000e+01,2.312222222222222356e+01
9.700000000000000000e+01,2.602222222222222214e+01
9.800000000000000000e+01,2.887777777777777644e+01
9.900000000000000000e+01,3.177777777777777857e+01
1.000000000000000000e+02,3.548888888888888715e+01
1.010000000000000000e+02,4.128888888888889142e+01
1.020000000000000000e+02,4.676404494382022392e+01
1.030000000000000000e+02,5.401123595505617914e+01
1.040000000000000000e+02,6.002247191011235827e+01
1.050000000000000000e+02,6.569662921348314910e+01
1.060000000000000000e+02,7.023863636363635976e+01
1.070000000000000000e+02,7.631818181818181301e+01
1.080000000000000000e+02,8.080681818181818699e+01
1.090000000000000000e+02,8.629545454545454675e+01
1.100000000000000000e+02,9.090804597701149703e+01
1.110000000000000000e+02,9.566279069767442422e+01
1.120000000000000000e+02,1.013372093023255758e+02
1.130000000000000000e+02,1.069418604651162781e+02
1.140000000000000000e+02,1.135813953488372050e+02
1.150000000000000000e+02,1.202906976744186096e+02
1.160000000000000000e+02,1.259651162790697612e+02
1.170000000000000000e+02,1.316744186046511516e+02
1.180000000000000000e+02,1.375232558139534831e+02
1.190000000000000000e+02,1.442117647058823593e+02
1.200000000000000000e+02,1.490941176470588232e+02
1.210000000000000000e+02,1.514000000000000057e+02
1.220000000000000000e+02,1.537647058823529278e+02
1.230000000000000000e+02,1.561529411764705912e+02
1.240000000000000000e+02,1.584523809523809632e+02
1.250000000000000000e+02,1.609166666666666572e+02
1.260000000000000000e+02,1.634761904761904816e+02
1.270000000000000000e+02,1.644285714285714164e+02
1.280000000000000000e+02,1.653690476190476204e+02
1.290000000000000000e+02,1.662738095238095184e+02
1.300000000000000000e+02,1.673690476190476204e+02
1.310000000000000000e+02,1.665180722891566347e+02
1.320000000000000000e+02,1.644404761904762040e+02
1.330000000000000000e+02,1.618915662650602485e+02
1.340000000000000000e+02,1.595731707317073074e+02
1.350000000000000000e+02,1.576875000000000000e+02
1.360000000000000000e+02,1.559240506329113884e+02
1.370000000000000000e+02,1.535194805194805099e+02
1.380000000000000000e+02,1.528157894736842195e+02
1.390000000000000000e+02,1.509054054054054177e+02
1.400000000000000000e+02,1.491351351351351298e+02
1.410000000000000000e+02,1.473150684931506760e+02
1.420000000000000000e+02,1.453194444444444571e+02
1.430000000000000000e+02,1.426197183098591665e+02
1.440000000000000000e+02,1.386666666666666572e+02
1.450000000000000000e+02,1.344328358208955194e+02
1.460000000000000000e+02,1.313181818181818130e+02
1.470000000000000000e+02,1.280461538461538566e+02
1.480000000000000000e+02,1.245156250000000000e+02
1.490000000000000000e+02,1.214687500000000000e+02
1.500000000000000000e+02,1.147936507936507979e+02
1.510000000000000000e+02,1.114677419354838719e+02
1.520000000000000000e+02,1.080000000000000000e+02
1.530000000000000000e+02,1.038644067796610102e+02
1.540000000000000000e+02,1.005862068965517295e+02
1.550000000000000000e+02,9.587500000000000000e+01
1.560000000000000000e+02,9.143636363636363740e+01
1.570000000000000000e+02,8.937037037037036669e+01
1.580000000000000000e+02,8.642307692307691980e+01
1.590000000000000000e+02,8.326000000000000512e+01
1.600000000000000000e+02,7.910204081632653583e+01
1.610000000000000000e+02,7.618367346938775597e+01
1.620000000000000000e+02,7.036170212765956933e+01
1.630000000000000000e+02,6.782978723404255561e+01
1.640000000000000000e+02,6.565217391304348382e+01
1.650000000000000000e+02,6.526086956521739069e+01
1.660000000000000000e+02,6.480434782608695343e+01
1.670000000000000000e+02,6.432608695652173481e+01
1.680000000000000000e+02,6.345652173913043725e+01
1.690000000000000000e+02,6.440425531914893043e+01
1.700000000000000000e+02,6.193478260869564878e+01
1.710000000000000000e+02,6.132608695652174191e+01
1.720000000000000000e+02,5.853333333333333144e+01
1.730000000000000000e+02,5.833333333333333570e+01
1.740000000000000000e+02,5.971739130434782794e+01
1.750000000000000000e+02,6.102127659574468055e+01
1.760000000000000000e+02,6.072340425531914576e+01
1.770000000000000000e+02,6.040425531914893753e+01
1.780000000000000000e+02,6.004255319148936110e+01
1.790000000000000000e+02,5.774468085106382631e+01
1.800000000000000000e+02,5.738297872340425698e+01
1.810000000000000000e+02,5.702127659574468055e+01
1.820000000000000000e+02,5.663829787234042357e+01
1.830000000000000000e+02,5.783333333333333570e+01
1.840000000000000000e+02,5.895918367346938993e+01
