time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2
0.000000000000000000e+00,8.525000000000000355e-01,1.524999999999999967e-01,0.000000000000000000e+00,8.275000000000000133e-01,5.174999999999999600e-01,0.000000000000000000e+00,4.324999999999999956e-01,3.175000000000000044e-01
0.000000000000000000e+00,8.475000000000000311e-01,1.024999999999999939e-01,7.800000000000000000e+01,8.774999999999999467e-01,5.224999999999999645e-01,1.170000000000000000e+02,3.825000000000000067e-01,3.225000000000000089e-01
1.100000000000000000e+01,8.425000000000000266e-01,5.249999999999999806e-02,8.900000000000000000e+01,9.274999999999999911e-01,5.274999999999999689e-01,1.280000000000000000e+02,3.325000000000000178e-01,3.275000000000000133e-01
2.200000000000000000e+01,8.375000000000000222e-01,2.500000000000000052e-03,1.000000000000000000e+02,9.224999999999999867e-01,5.775000000000000133e-01,1.390000000000000000e+02,2.824999999999999734e-01,3.325000000000000178e-01
3.300000000000000000e+01,7.874999999999999778e-01,7.499999999999999722e-03,1.110000000000000000e+02,9.725000000000000311e-01,5.825000000000000178e-01,1.500000000000000000e+02,2.325000000000000122e-01,3.375000000000000222e-01
4.400000000000000000e+01,7.375000000000000444e-01,1.250000000000000069e-02,1.220000000000000000e+02,9.675000000000000266e-01,6.324999999999999512e-01,1.610000000000000000e+02,1.824999999999999956e-01,3.425000000000000266e-01
5.500000000000000000e+01,6.875000000000000000e-01,1.750000000000000167e-02,1.330000000000000000e+02,9.174999999999999822e-01,6.374999999999999556e-01,1.720000000000000000e+02,1.325000000000000067e-01,3.474999999999999756e-01
6.600000000000000000e+01,6.374999999999999556e-01,2.249999999999999917e-02,1.440000000000000000e+02,8.675000000000000488e-01,6.424999999999999600e-01,1.830000000000000000e+02,8.250000000000000389e-02,3.524999999999999800e-01
7.700000000000000000e+01,5.875000000000000222e-01,2.750000000000000014e-02,1.550000000000000000e+02,8.625000000000000444e-01,6.925000000000000044e-01,1.940000000000000000e+02,3.250000000000000111e-02,3.574999999999999845e-01
8.800000000000000000e+01,5.374999999999999778e-01,3.250000000000000111e-02,1.660000000000000000e+02,8.125000000000000000e-01,6.975000000000000089e-01,2.050000000000000000e+02,2.750000000000000014e-02,4.074999999999999734e-01
9.900000000000000000e+01,4.874999999999999889e-01,3.749999999999999861e-02,1.770000000000000000e+02,7.624999999999999556e-01,7.025000000000000133e-01,2.160000000000000000e+02,7.749999999999999944e-02,4.124999999999999778e-01
1.100000000000000000e+02,4.375000000000000000e-01,4.250000000000000305e-02,1.880000000000000000e+02,7.125000000000000222e-01,7.075000000000000178e-01,2.270000000000000000e+02,1.275000000000000022e-01,4.174999999999999822e-01
1.210000000000000000e+02,3.875000000000000111e-01,4.750000000000000056e-02,1.990000000000000000e+02,6.624999999999999778e-01,7.125000000000000222e-01,2.380000000000000000e+02,1.774999999999999911e-01,4.224999999999999867e-01
1.320000000000000000e+02,3.375000000000000222e-01,5.249999999999999806e-02,2.100000000000000000e+02,6.125000000000000444e-01,7.175000000000000266e-01,2.490000000000000000e+02,2.275000000000000078e-01,4.274999999999999911e-01
1.430000000000000000e+02,3.425000000000000266e-01,1.024999999999999939e-01,2.210000000000000000e+02,5.625000000000000000e-01,7.225000000000000311e-01,2.600000000000000000e+02,2.775000000000000244e-01,4.324999999999999956e-01
1.540000000000000000e+02,3.925000000000000155e-01,1.074999999999999983e-01,2.320000000000000000e+02,5.124999999999999556e-01,7.275000000000000355e-01,2.710000000000000000e+02,3.275000000000000133e-01,4.375000000000000000e-01
