time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2
0.000000000000000000e+00,8.525000000000000355e-01,1.524999999999999967e-01,0.000000000000000000e+00,8.525000000000000355e-01,5.124999999999999556e-01,0.000000000000000000e+00,4.425000000000000044e-01,3.624999999999999889e-01
0.000000000000000000e+00,8.475000000000000311e-01,1.024999999999999939e-01,7.200000000000000000e+01,8.024999999999999911e-01,5.174999999999999600e-01,1.240000000000000000e+02,3.925000000000000155e-01,3.674999999999999933e-01
1.100000000000000000e+01,8.425000000000000266e-01,5.249999999999999806e-02,8.300000000000000000e+01,7.524999999999999467e-01,5.224999999999999645e-01,1.350000000000000000e+02,3.425000000000000266e-01,3.724999999999999978e-01
2.200000000000000000e+01,8.375000000000000222e-01,2.500000000000000052e-03,9.400000000000000000e+01,7.025000000000000133e-01,5.274999999999999689e-01,1.460000000000000000e+02,2.924999999999999822e-01,3.775000000000000022e-01
3.300000000000000000e+01,7.874999999999999778e-01,7.499999999999999722e-03,1.050000000000000000e+02,6.524999999999999689e-01,5.324999999999999734e-01,1.570000000000000000e+02,2.424999999999999933e-01,3.825000000000000067e-01
4.400000000000000000e+01,7.375000000000000444e-01,1.250000000000000069e-02,1.160000000000000000e+02,6.025000000000000355e-01,5.374999999999999778e-01,1.680000000000000000e+02,1.925000000000000044e-01,3.875000000000000111e-01
5.500000000000000000e+01,6.875000000000000000e-01,1.750000000000000167e-02,1.270000000000000000e+02,5.524999999999999911e-01,5.424999999999999822e-01,1.790000000000000000e+02,1.424999999999999878e-01,3.925000000000000155e-01
6.600000000000000000e+01,6.374999999999999556e-01,2.249999999999999917e-02,1.380000000000000000e+02,5.024999999999999467e-01,5.474999999999999867e-01,1.900000000000000000e+02,9.249999999999999889e-02,3.975000000000000200e-01
7.700000000000000000e+01,5.875000000000000222e-01,2.750000000000000014e-02,1.490000000000000000e+02,4.974999999999999978e-01,5.975000000000000311e-01,2.010000000000000000e+02,4.250000000000000305e-02,4.025000000000000244e-01
8.800000000000000000e+01,5.374999999999999778e-01,3.250000000000000111e-02,1.600000000000000000e+02,5.474999999999999867e-01,6.025000000000000355e-01,2.120000000000000000e+02,3.749999999999999861e-02,4.525000000000000133e-01
9.900000000000000000e+01,4.874999999999999889e-01,3.749999999999999861e-02,1.710000000000000000e+02,5.975000000000000311e-01,6.075000000000000400e-01,2.230000000000000000e+02,8.749999999999999445e-02,4.575000000000000178e-01
1.100000000000000000e+02,4.375000000000000000e-01,4.250000000000000305e-02,1.820000000000000000e+02,6.474999999999999645e-01,6.125000000000000444e-01,2.340000000000000000e+02,1.375000000000000111e-01,4.625000000000000222e-01
