time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2
1.000000000000000000e+00,7.840000000000000302e-01,2.200000000000000011e-01,1.000000000000000000e+00,7.800000000000000266e-01,3.599999999999999867e-01,1.000000000000000000e+00,4.959999999999999964e-01,5.160000000000000142e-01
3.000000000000000000e+00,7.879999999999999227e-01,2.200000000000000011e-01,3.500000000000000000e+01,7.800000000000000266e-01,3.599999999999999867e-01,1.450000000000000000e+02,4.600000000000000200e-01,5.120000000000000107e-01
5.000000000000000000e+00,7.920000000000000373e-01,2.200000000000000011e-01,3.700000000000000000e+01,7.800000000000000266e-01,3.599999999999999867e-01,1.550000000000000000e+02,4.479999999999999538e-01,5.120000000000000107e-01
7.000000000000000000e+00,7.959999999999999298e-01,2.200000000000000011e-01,3.900000000000000000e+01,8.120000000000000551e-01,3.840000000000000080e-01,1.580000000000000000e+02,4.400000000000000022e-01,5.120000000000000107e-01
9.000000000000000000e+00,8.000000000000000444e-01,2.200000000000000011e-01,5.200000000000000000e+01,8.440000000000000835e-01,3.800000000000000044e-01,1.620000000000000000e+02,4.600000000000000200e-01,5.520000000000000462e-01
1.100000000000000000e+01,8.040000000000000480e-01,2.200000000000000011e-01,6.000000000000000000e+01,7.800000000000000266e-01,4.120000000000000329e-01,1.750000000000000000e+02,4.039999999999999702e-01,5.200000000000000178e-01
1.300000000000000000e+01,8.079999999999999405e-01,2.200000000000000011e-01,8.100000000000000000e+01,8.719999999999999973e-01,3.800000000000000044e-01,1.940000000000000000e+02,4.520000000000000129e-01,5.879999999999999671e-01
1.500000000000000000e+01,8.120000000000000551e-01,2.200000000000000011e-01,1.090000000000000000e+02,8.120000000000000551e-01,4.479999999999999538e-01,2.200000000000000000e+02,3.679999999999999938e-01,5.560000000000000497e-01
1.700000000000000000e+01,8.159999999999999476e-01,2.200000000000000011e-01,1.380000000000000000e+02,7.479999999999999982e-01,4.279999999999999916e-01,2.460000000000000000e+02,3.840000000000000080e-01,4.920000000000000484e-01
1.900000000000000000e+01,8.199999999999999512e-01,2.200000000000000011e-01,1.580000000000000000e+02,7.879999999999999227e-01,4.839999999999999858e-01,2.650000000000000000e+02,3.320000000000000173e-01,5.479999999999999316e-01
2.100000000000000000e+01,7.399999999999999911e-01,2.200000000000000011e-01,1.790000000000000000e+02,7.120000000000000773e-01,4.320000000000000506e-01,2.890000000000000000e+02,3.679999999999999938e-01,4.560000000000000164e-01
4.000000000000000000e+01,8.559999999999999831e-01,2.200000000000000011e-01,2.080000000000000000e+02,8.040000000000000480e-01,5.160000000000000142e-01,3.180000000000000000e+02,4.199999999999999845e-01,4.799999999999999822e-01
6.600000000000000000e+01,7.479999999999999982e-01,1.799999999999999933e-01,2.490000000000000000e+02,8.840000000000000080e-01,4.359999999999999987e-01,3.360000000000000000e+02,2.960000000000000409e-01,5.080000000000000071e-01
1.000000000000000000e+02,7.279999999999999805e-01,2.560000000000000053e-01,2.880000000000000000e+02,8.880000000000000115e-01,3.479999999999999760e-01,3.730000000000000000e+02,4.839999999999999858e-01,6.039999999999999813e-01
1.230000000000000000e+02,7.279999999999999805e-01,1.520000000000000240e-01,3.120000000000000000e+02,9.200000000000000400e-01,4.479999999999999538e-01,4.430000000000000000e+02,3.079999999999999960e-01,5.760000000000000675e-01
1.480000000000000000e+02,6.920000000000000595e-01,2.520000000000000018e-01,3.440000000000000000e+02,8.479999999999999760e-01,5.320000000000000284e-01,4.910000000000000000e+02,2.600000000000000089e-01,5.160000000000000142e-01
1.810000000000000000e+02,8.000000000000000444e-01,2.600000000000000089e-01,3.820000000000000000e+02,9.240000000000000435e-01,5.200000000000000178e-01,5.190000000000000000e+02,2.839999999999999747e-01,6.119999999999999885e-01
2.090000000000000000e+02,8.240000000000000657e-01,1.799999999999999933e-01,4.010000000000000000e+02,9.320000000000000506e-01,3.960000000000000187e-01,5.460000000000000000e+02,2.239999999999999769e-01,5.400000000000000355e-01
2.340000000000000000e+02,8.599999999999999867e-01,2.600000000000000089e-01,4.350000000000000000e+02,9.599999999999999645e-01,4.639999999999999680e-01,5.760000000000000000e+02,2.319999999999999840e-01,6.199999999999999956e-01
2.620000000000000000e+02,8.800000000000000044e-01,1.920000000000000040e-01,4.580000000000000000e+02,9.479999999999999538e-01,5.560000000000000497e-01,5.950000000000000000e+02,2.839999999999999747e-01,6.480000000000000204e-01
2.830000000000000000e+02,8.359999999999999654e-01,1.439999999999999891e-01,4.830000000000000000e+02,8.320000000000000728e-01,5.639999999999999458e-01,6.160000000000000000e+02,1.880000000000000004e-01,5.999999999999999778e-01
3.050000000000000000e+02,7.559999999999998943e-01,1.239999999999999852e-01,5.150000000000000000e+02,9.599999999999999645e-01,5.920000000000000817e-01,6.490000000000000000e+02,1.920000000000000040e-01,5.240000000000000213e-01
3.310000000000000000e+02,6.920000000000000595e-01,1.520000000000000240e-01,5.530000000000000000e+02,8.440000000000000835e-01,5.999999999999999778e-01,6.680000000000000000e+02,1.520000000000000240e-01,5.799999999999999600e-01
3.530000000000000000e+02,7.399999999999999911e-01,8.799999999999996714e-02,5.830000000000000000e+02,8.840000000000000080e-01,3.160000000000000031e-01,6.890000000000000000e+02,1.720000000000000417e-01,6.480000000000000204e-01
3.780000000000000000e+02,6.640000000000000346e-01,1.039999999999999813e-01,6.610000000000000000e+02,9.840000000000000968e-01,4.279999999999999916e-01,7.100000000000000000e+02,1.160000000000000198e-01,6.119999999999999885e-01
3.980000000000000000e+02,6.759999999999999343e-01,1.839999999999999969e-01,7.130000000000000000e+02,6.879999999999999449e-01,4.679999999999999716e-01,7.300000000000000000e+02,1.679999999999999827e-01,6.840000000000000524e-01
4.200000000000000000e+02,6.559999999999999165e-01,2.560000000000000053e-01,7.960000000000000000e+02,7.440000000000001057e-01,3.840000000000000080e-01,7.580000000000000000e+02,8.799999999999996714e-02,6.600000000000000311e-01
4.420000000000000000e+02,7.759999999999999121e-01,2.919999999999999818e-01,8.280000000000000000e+02,6.679999999999999272e-01,4.959999999999999964e-01,7.810000000000000000e+02,1.039999999999999813e-01,5.760000000000000675e-01
4.800000000000000000e+02,8.679999999999999938e-01,2.960000000000000409e-01,8.720000000000000000e+02,7.600000000000000089e-01,5.360000000000000320e-01,8.050000000000000000e+02,5.200000000000002537e-02,6.520000000000000240e-01
5.050000000000000000e+02,7.759999999999999121e-01,3.279999999999999583e-01,9.040000000000000000e+02,6.679999999999999272e-01,5.320000000000000284e-01,8.340000000000000000e+02,5.600000000000001504e-02,5.639999999999999458e-01
5.350000000000000000e+02,8.959999999999999076e-01,2.479999999999999982e-01,9.260000000000000000e+02,7.240000000000000879e-01,5.720000000000000639e-01,8.540000000000000000e+02,2.399999999999998662e-02,6.720000000000000417e-01
5.820000000000000000e+02,8.840000000000000080e-01,1.279999999999999749e-01,9.480000000000000000e+02,6.400000000000000133e-01,5.560000000000000497e-01,8.860000000000000000e+02,1.600000000000001421e-02,5.959999999999999742e-01
6.140000000000000000e+02,9.320000000000000506e-01,2.360000000000000153e-01,9.700000000000000000e+02,6.320000000000000062e-01,4.839999999999999858e-01,9.060000000000000000e+02,6.799999999999997713e-02,7.040000000000000702e-01
6.500000000000000000e+02,9.120000000000000329e-01,9.600000000000001588e-02,9.910000000000000000e+02,6.079999999999999849e-01,5.799999999999999600e-01,9.430000000000000000e+02,1.920000000000000040e-01,7.120000000000000773e-01
6.870000000000000000e+02,8.440000000000000835e-01,1.079999999999999710e-01,1.020000000000000000e+03,5.999999999999999778e-01,4.679999999999999716e-01,9.770000000000000000e+02,1.120000000000000301e-01,7.399999999999999911e-01
7.060000000000000000e+02,8.959999999999999076e-01,5.999999999999999778e-02,1.049000000000000000e+03,6.520000000000000240e-01,4.440000000000000058e-01,1.003000000000000000e+03,2.280000000000000082e-01,6.959999999999999520e-01
7.280000000000000000e+02,8.079999999999999405e-01,8.399999999999999134e-02,1.067000000000000000e+03,5.720000000000000639e-01,5.280000000000000249e-01,1.040000000000000000e+03,3.039999999999999925e-01,6.759999999999999343e-01
7.530000000000000000e+02,6.879999999999999449e-01,5.200000000000002537e-02,1.105000000000000000e+03,6.360000000000000098e-01,6.119999999999999885e-01,1.065000000000000000e+03,2.680000000000000160e-01,7.399999999999999911e-01
7.900000000000000000e+02,6.239999999999999991e-01,1.239999999999999852e-01,1.141000000000000000e+03,7.199999999999999734e-01,6.079999999999999849e-01,1.087000000000000000e+03,4.839999999999999858e-01,6.400000000000000133e-01
8.230000000000000000e+02,6.280000000000000027e-01,2.200000000000000011e-01,1.162000000000000000e+03,5.479999999999999316e-01,5.839999999999999636e-01,1.163000000000000000e+03,4.720000000000000306e-01,7.159999999999999698e-01
8.480000000000000000e+02,5.879999999999999671e-01,1.560000000000000275e-01,1.208000000000000000e+03,5.760000000000000675e-01,6.480000000000000204e-01,1.182000000000000000e+03,4.320000000000000506e-01,7.559999999999998943e-01
8.720000000000000000e+02,6.199999999999999956e-01,2.600000000000000089e-01,1.228000000000000000e+03,6.559999999999999165e-01,6.480000000000000204e-01,1.203000000000000000e+03,3.920000000000000151e-01,6.720000000000000417e-01
9.030000000000000000e+02,6.920000000000000595e-01,2.919999999999999818e-01,1.249000000000000000e+03,5.479999999999999316e-01,6.759999999999999343e-01,1.233000000000000000e+03,1.799999999999999933e-01,4.920000000000000484e-01
9.300000000000000000e+02,5.959999999999999742e-01,2.919999999999999818e-01,1.282000000000000000e+03,6.480000000000000204e-01,6.840000000000000524e-01,1.332000000000000000e+03,1.000000000000000056e-01,5.400000000000000355e-01
9.530000000000000000e+02,6.800000000000000488e-01,3.279999999999999583e-01,1.308000000000000000e+03,5.879999999999999671e-01,7.120000000000000773e-01,1.363000000000000000e+03,1.600000000000000033e-01,4.560000000000000164e-01
9.820000000000000000e+02,5.760000000000000675e-01,3.200000000000000067e-01,1.329000000000000000e+03,6.800000000000000488e-01,6.999999999999999556e-01,1.396000000000000000e+03,8.000000000000000167e-02,4.760000000000000342e-01
1.007000000000000000e+03,5.520000000000000462e-01,1.839999999999999969e-01,1.352000000000000000e+03,6.079999999999999849e-01,7.479999999999999982e-01,1.418000000000000000e+03,1.560000000000000275e-01,4.199999999999999845e-01
1.048000000000000000e+03,5.839999999999999636e-01,3.639999999999999902e-01,1.379000000000000000e+03,7.159999999999999698e-01,7.159999999999999698e-01,1.448000000000000000e+03,5.600000000000001504e-02,4.359999999999999987e-01
1.098000000000000000e+03,5.160000000000000142e-01,2.319999999999999840e-01,1.411000000000000000e+03,6.920000000000000595e-01,7.840000000000000302e-01,1.474000000000000000e+03,1.560000000000000275e-01,3.840000000000000080e-01
1.145000000000000000e+03,5.320000000000000284e-01,1.560000000000000275e-01,1.431000000000000000e+03,7.520000000000000018e-01,7.319999999999999840e-01,1.509000000000000000e+03,2.799999999999997283e-02,4.039999999999999702e-01
1.169000000000000000e+03,5.720000000000000639e-01,1.239999999999999852e-01,1.456000000000000000e+03,7.159999999999999698e-01,6.800000000000000488e-01,1.543000000000000000e+03,1.880000000000000004e-01,3.679999999999999938e-01
1.188000000000000000e+03,4.839999999999999858e-01,1.439999999999999891e-01,1.477000000000000000e+03,7.879999999999999227e-01,7.120000000000000773e-01,1.589000000000000000e+03,6.799999999999997713e-02,3.479999999999999760e-01
1.212000000000000000e+03,5.560000000000000497e-01,8.799999999999996714e-02,1.500000000000000000e+03,6.759999999999999343e-01,8.159999999999999476e-01,1.623000000000000000e+03,1.600000000000001421e-02,4.400000000000000022e-01
1.241000000000000000e+03,4.560000000000000164e-01,1.160000000000000198e-01,1.553000000000000000e+03,6.159999999999999920e-01,7.840000000000000302e-01,1.658000000000000000e+03,3.200000000000002842e-02,3.400000000000000244e-01
1.270000000000000000e+03,4.760000000000000342e-01,1.960000000000000075e-01,1.575000000000000000e+03,6.640000000000000346e-01,8.519999999999999796e-01,1.684000000000000000e+03,1.360000000000000098e-01,3.279999999999999583e-01
1.294000000000000000e+03,4.199999999999999845e-01,1.039999999999999813e-01,1.601000000000000000e+03,7.240000000000000879e-01,8.279999999999999583e-01,1.714000000000000000e+03,5.200000000000002537e-02,3.039999999999999925e-01
1.328000000000000000e+03,4.400000000000000022e-01,2.200000000000000011e-01,1.621000000000000000e+03,6.239999999999999991e-01,8.759999999999998899e-01,1.740000000000000000e+03,2.039999999999999869e-01,4.160000000000000364e-01
1.359000000000000000e+03,5.760000000000000675e-01,4.000000000000000222e-01,1.655000000000000000e+03,7.120000000000000773e-01,8.880000000000000115e-01,1.803000000000000000e+03,2.520000000000000018e-01,4.799999999999999822e-01
1.439000000000000000e+03,4.400000000000000022e-01,3.279999999999999583e-01,1.679000000000000000e+03,6.199999999999999956e-01,9.120000000000000329e-01,1.832000000000000000e+03,2.239999999999999769e-01,3.679999999999999938e-01
