time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2
1.000000000000000000e+00,7.028571428571428470e-01,2.999999999999999889e-01,1.000000000000000000e+00,6.999999999999999556e-01,4.057142857142856940e-01,1.000000000000000000e+00,4.971428571428571086e-01,5.142857142857142350e-01
3.000000000000000000e+00,7.057142857142857384e-01,2.999999999999999889e-01,3.700000000000000000e+01,6.999999999999999556e-01,4.057142857142856940e-01,1.460000000000000000e+02,4.714285714285714191e-01,5.114285714285713436e-01
5.000000000000000000e+00,7.085714285714286298e-01,2.999999999999999889e-01,3.900000000000000000e+01,6.999999999999999556e-01,4.057142857142856940e-01,1.550000000000000000e+02,4.542857142857142927e-01,5.285714285714285809e-01
7.000000000000000000e+00,7.114285714285714102e-01,2.999999999999999889e-01,4.100000000000000000e+01,6.999999999999999556e-01,4.199999999999999845e-01,1.680000000000000000e+02,4.285714285714285476e-01,5.200000000000000178e-01
9.000000000000000000e+00,7.142857142857143016e-01,2.999999999999999889e-01,4.500000000000000000e+01,6.999999999999999556e-01,4.257142857142857117e-01,1.790000000000000000e+02,4.628571428571428559e-01,5.542857142857142705e-01
1.100000000000000000e+01,7.171428571428571930e-01,2.999999999999999889e-01,4.800000000000000000e+01,6.999999999999999556e-01,4.314285714285714390e-01,2.000000000000000000e+02,4.057142857142856940e-01,5.085714285714285632e-01
1.300000000000000000e+01,7.199999999999999734e-01,2.999999999999999889e-01,5.100000000000000000e+01,6.999999999999999556e-01,4.428571428571428381e-01,2.330000000000000000e+02,4.428571428571428381e-01,5.800000000000000711e-01
1.500000000000000000e+01,7.228571428571428648e-01,2.999999999999999889e-01,5.700000000000000000e+01,7.285714285714285365e-01,4.228571428571428759e-01,2.680000000000000000e+02,3.800000000000000044e-01,5.342857142857142527e-01
1.700000000000000000e+01,7.257142857142856451e-01,2.999999999999999889e-01,7.200000000000000000e+01,6.857142857142857206e-01,4.657142857142857473e-01,3.030000000000000000e+02,4.085714285714285854e-01,4.828571428571428181e-01
1.900000000000000000e+01,7.285714285714285365e-01,2.999999999999999889e-01,9.900000000000000000e+01,7.514285714285714457e-01,4.257142857142857117e-01,3.300000000000000000e+02,3.542857142857143149e-01,5.114285714285713436e-01
2.100000000000000000e+01,6.714285714285713746e-01,2.999999999999999889e-01,1.330000000000000000e+02,7.057142857142857384e-01,4.914285714285713813e-01,3.560000000000000000e+02,4.342857142857142749e-01,4.885714285714286009e-01
4.100000000000000000e+01,7.228571428571428648e-01,2.714285714285714080e-01,1.690000000000000000e+02,6.600000000000000311e-01,4.571428571428571286e-01,3.890000000000000000e+02,3.542857142857143149e-01,4.685714285714285277e-01
