time,avg_delay
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,2.333333333333333440e-02
4.700000000000000000e+01,5.666666666666666380e-02
4.800000000000000000e+01,9.666666666666666463e-02
4.900000000000000000e+01,1.499999999999999944e-01
5.000000000000000000e+01,2.099999999999999922e-01
5.100000000000000000e+01,2.800000000000000266e-01
5.200000000000000000e+01,3.599999999999999867e-01
5.300000000000000000e+01,4.466666666666666563e-01
5.400000000000000000e+01,5.466666666666666341e-01
5.500000000000000000e+01,6.533333333333333215e-01
5.600000000000000000e+01,7.700000000000000178e-01
5.700000000000000000e+01,9.033333333333333215e-01
5.800000000000000000e+01,1.050000000000000044e+00
5.900000000000000000e+01,1.206666666666666776e+00
6.000000000000000000e+01,1.383333333333333304e+00
6.100000000000000000e+01,1.545150501672240884e+00
6.200000000000000000e+01,1.650847457627118597e+00
6.300000000000000000e+01,1.694444444444444420e+00
6.400000000000000000e+01,1.758865248226950451e+00
6.500000000000000000e+01,1.837545126353790526e+00
6.600000000000000000e+01,1.888888888888888840e+00
6.700000000000000000e+01,1.977443609022556448e+00
6.800000000000000000e+01,2.384615384615384581e+00
6.900000000000000000e+01,3.156862745098039102e+00
7.000000000000000000e+01,3.830645161290322509e+00
7.100000000000000000e+01,5.041152263374485187e+00
7.200000000000000000e+01,6.156118143459915260e+00
7.300000000000000000e+01,7.798283261802574806e+00
7.400000000000000000e+01,8.433628318584069916e+00
7.500000000000000000e+01,9.105022831050227694e+00
7.600000000000000000e+01,9.783018867924528905e+00
7.700000000000000000e+01,1.048780487804878092e+01
7.800000000000000000e+01,1.490731707317073251e+01
7.900000000000000000e+01,1.898529411764705799e+01
8.000000000000000000e+01,2.263861386138613696e+01
8.100000000000000000e+01,2.674752475247524686e+01
8.200000000000000000e+01,2.982000000000000028e+01
8.300000000000000000e+01,3.349499999999999744e+01
8.400000000000000000e+01,3.712500000000000000e+01
8.500000000000000000e+01,4.075500000000000256e+01
8.600000000000000000e+01,4.436683417085426839e+01
8.700000000000000000e+01,4.795979899497487509e+01
8.800000000000000000e+01,5.158585858585858830e+01
8.900000000000000000e+01,5.570918367346938993e+01
9.000000000000000000e+01,6.127319587628866060e+01
9.100000000000000000e+01,6.789743589743589780e+01
9.200000000000000000e+01,7.287373737373737015e+01
9.300000000000000000e+01,7.669117647058823195e+01
9.400000000000000000e+01,8.064114832535885569e+01
9.500000000000000000e+01,8.479342723004694449e+01
9.600000000000000000e+01,8.804109589041095774e+01
9.700000000000000000e+01,9.227927927927927954e+01
9.800000000000000000e+01,9.522907488986784585e+01
9.900000000000000000e+01,9.808225108225107647e+01
1.000000000000000000e+02,9.977542372881356414e+01
1.010000000000000000e+02,1.017029288702928937e+02
1.020000000000000000e+02,1.033251028806584344e+02
1.030000000000000000e+02,1.047551020408163254e+02
1.040000000000000000e+02,1.039203187250996052e+02
1.050000000000000000e+02,1.034883720930232585e+02
1.060000000000000000e+02,1.030943396226415132e+02
1.070000000000000000e+02,1.042740740740740790e+02
1.080000000000000000e+02,1.055000000000000000e+02
1.090000000000000000e+02,1.067490494296577879e+02
1.100000000000000000e+02,1.076259541984732806e+02
1.110000000000000000e+02,1.095977011494252906e+02
1.120000000000000000e+02,1.117442748091603022e+02
1.130000000000000000e+02,1.144580152671755684e+02
1.140000000000000000e+02,1.164769230769230717e+02
1.150000000000000000e+02,1.188532818532818567e+02
1.160000000000000000e+02,1.209420849420849464e+02
1.170000000000000000e+02,1.207450980392156907e+02
1.180000000000000000e+02,1.203647058823529363e+02
1.190000000000000000e+02,1.197470817120622542e+02
1.200000000000000000e+02,1.180926640926640943e+02
1.210000000000000000e+02,1.157027027027027088e+02
1.220000000000000000e+02,1.136461538461538510e+02
1.230000000000000000e+02,1.117739463601532606e+02
1.240000000000000000e+02,1.097480916030534388e+02
1.250000000000000000e+02,1.076806083650190118e+02
1.260000000000000000e+02,1.056250000000000000e+02
1.270000000000000000e+02,1.043295880149812689e+02
1.280000000000000000e+02,1.023134328358208904e+02
1.290000000000000000e+02,1.018513011152416396e+02
1.300000000000000000e+02,1.015940959409594058e+02
1.310000000000000000e+02,1.013333333333333286e+02
1.320000000000000000e+02,1.010690909090909031e+02
1.330000000000000000e+02,1.012346570397111947e+02
1.340000000000000000e+02,1.032086330935251794e+02
1.350000000000000000e+02,1.049568345323741028e+02
1.360000000000000000e+02,1.072625899280575510e+02
1.370000000000000000e+02,1.080285714285714249e+02
1.380000000000000000e+02,1.084507042253521121e+02
1.390000000000000000e+02,1.086770833333333286e+02
1.400000000000000000e+02,1.092817869415807621e+02
1.410000000000000000e+02,1.091917808219178028e+02
1.420000000000000000e+02,1.091092150170648409e+02
1.430000000000000000e+02,1.085972696245733857e+02
1.440000000000000000e+02,1.088915254237288082e+02
1.450000000000000000e+02,1.087263513513513544e+02
1.460000000000000000e+02,1.085622895622895641e+02
1.470000000000000000e+02,1.107408637873754174e+02
1.480000000000000000e+02,1.125993377483443680e+02
1.490000000000000000e+02,1.147516556291390799e+02
1.500000000000000000e+02,1.166033333333333388e+02
1.510000000000000000e+02,1.185939597315436203e+02
1.520000000000000000e+02,1.205540540540540491e+02
1.530000000000000000e+02,1.223639455782312950e+02
1.540000000000000000e+02,1.243390410958904084e+02
1.550000000000000000e+02,1.264241379310344797e+02
1.560000000000000000e+02,1.282657342657342667e+02
1.570000000000000000e+02,1.294749999999999943e+02
1.580000000000000000e+02,1.312355072463768124e+02
1.590000000000000000e+02,1.315477941176470722e+02
1.600000000000000000e+02,1.319514925373134417e+02
1.610000000000000000e+02,1.332150943396226523e+02
1.620000000000000000e+02,1.344923664122137268e+02
1.630000000000000000e+02,1.358223938223938205e+02
1.640000000000000000e+02,1.370392156862745026e+02
1.650000000000000000e+02,1.383266932270916243e+02
1.660000000000000000e+02,1.398674698795180689e+02
1.670000000000000000e+02,1.417782258064516157e+02
1.680000000000000000e+02,1.433157894736842195e+02
1.690000000000000000e+02,1.451544715447154488e+02
1.700000000000000000e+02,1.469795918367346985e+02
1.710000000000000000e+02,1.488155737704917954e+02
1.720000000000000000e+02,1.509958847736625387e+02
1.730000000000000000e+02,1.532231404958677672e+02
1.740000000000000000e+02,1.553070539419087197e+02
1.750000000000000000e+02,1.572208333333333314e+02
1.760000000000000000e+02,1.598577405857740530e+02
1.770000000000000000e+02,1.627605042016806749e+02
1.780000000000000000e+02,1.658691983122362785e+02
1.790000000000000000e+02,1.681525423728813564e+02
1.800000000000000000e+02,1.707763713080168770e+02
1.810000000000000000e+02,1.727352941176470722e+02
1.820000000000000000e+02,1.746569037656903731e+02
1.830000000000000000e+02,1.768291666666666799e+02
1.840000000000000000e+02,1.793817427385892245e+02
1.850000000000000000e+02,1.818347107438016508e+02
1.860000000000000000e+02,1.839959183673469454e+02
1.870000000000000000e+02,1.856209677419354875e+02
1.880000000000000000e+02,1.871952191235059786e+02
1.890000000000000000e+02,1.887913385826771560e+02
1.900000000000000000e+02,1.908832684824902799e+02
1.910000000000000000e+02,1.923629343629343680e+02
1.920000000000000000e+02,1.937892720306513468e+02
1.930000000000000000e+02,1.946007604562737754e+02
1.940000000000000000e+02,1.952584269662921486e+02
1.950000000000000000e+02,1.957555555555555600e+02
1.960000000000000000e+02,1.964575645756457618e+02
1.970000000000000000e+02,1.967822878228782315e+02
1.980000000000000000e+02,1.974649446494464939e+02
1.990000000000000000e+02,1.973948339483394818e+02
2.000000000000000000e+02,1.973690036900368909e+02
2.010000000000000000e+02,1.972915129151291467e+02
2.020000000000000000e+02,1.974022140221402140e+02
2.030000000000000000e+02,1.974870848708487188e+02
2.040000000000000000e+02,1.976236162361623485e+02
2.050000000000000000e+02,1.975387453874538721e+02
2.060000000000000000e+02,1.967675276752767388e+02
2.070000000000000000e+02,1.958228782287822867e+02
2.080000000000000000e+02,1.952878228782287806e+02
2.090000000000000000e+02,1.947712177121771333e+02
2.100000000000000000e+02,1.938745387453874400e+02
2.110000000000000000e+02,1.936162361623616164e+02
2.120000000000000000e+02,1.933763837638376515e+02
2.130000000000000000e+02,1.929003690036900309e+02
2.140000000000000000e+02,1.920627306273062800e+02
2.150000000000000000e+02,1.912324723247232612e+02
2.160000000000000000e+02,1.904059040590405800e+02
2.170000000000000000e+02,1.901734317343173473e+02
2.180000000000000000e+02,1.900738007380073782e+02
2.190000000000000000e+02,1.899188191881918897e+02
2.200000000000000000e+02,1.892767527675276824e+02
2.210000000000000000e+02,1.886605166051660376e+02
2.220000000000000000e+02,1.879594095940959448e+02
2.230000000000000000e+02,1.873777777777777658e+02
2.240000000000000000e+02,1.875278810408921970e+02
2.250000000000000000e+02,1.869365671641791096e+02
2.260000000000000000e+02,1.865783582089552226e+02
2.270000000000000000e+02,1.864850746268656678e+02
2.280000000000000000e+02,1.862425373134328481e+02
2.290000000000000000e+02,1.866156716417910388e+02
2.300000000000000000e+02,1.869514925373134417e+02
2.310000000000000000e+02,1.872761194029850742e+02
2.320000000000000000e+02,1.870820895522388128e+02
2.330000000000000000e+02,1.869253731343283675e+02
2.340000000000000000e+02,1.863582089552238870e+02
2.350000000000000000e+02,1.862985074626865583e+02
2.360000000000000000e+02,1.866728624535315930e+02
2.370000000000000000e+02,1.869814814814814952e+02
2.380000000000000000e+02,1.868265682656826527e+02
2.390000000000000000e+02,1.866544117647058840e+02
2.400000000000000000e+02,1.864505494505494596e+02
2.410000000000000000e+02,1.861605839416058359e+02
2.420000000000000000e+02,1.858618181818181938e+02
2.430000000000000000e+02,1.855471014492753739e+02
2.440000000000000000e+02,1.852996389891696651e+02
2.450000000000000000e+02,1.850359712230215905e+02
2.460000000000000000e+02,1.848602150537634543e+02
2.470000000000000000e+02,1.846750000000000114e+02
2.480000000000000000e+02,1.843629893238434079e+02
2.490000000000000000e+02,1.843120567375886480e+02
2.500000000000000000e+02,1.842579505300353446e+02
2.510000000000000000e+02,1.840950704225352013e+02
2.520000000000000000e+02,1.837894736842105203e+02
2.530000000000000000e+02,1.838815331010453065e+02
2.540000000000000000e+02,1.833055555555555429e+02
2.550000000000000000e+02,1.834344827586207032e+02
2.560000000000000000e+02,1.827972508591065264e+02
2.570000000000000000e+02,1.821849315068493240e+02
2.580000000000000000e+02,1.815255972696245692e+02
2.590000000000000000e+02,1.809183673469387656e+02
2.600000000000000000e+02,1.803152542372881442e+02
2.610000000000000000e+02,1.800101351351351298e+02
2.620000000000000000e+02,1.797104377104377022e+02
2.630000000000000000e+02,1.791073825503355579e+02
2.640000000000000000e+02,1.788829431438126960e+02
2.650000000000000000e+02,1.786599999999999966e+02
2.660000000000000000e+02,1.783199999999999932e+02
2.670000000000000000e+02,1.779866666666666788e+02
2.680000000000000000e+02,1.772933333333333223e+02
2.690000000000000000e+02,1.766033333333333246e+02
2.700000000000000000e+02,1.760133333333333212e+02
2.710000000000000000e+02,1.754666666666666686e+02
2.720000000000000000e+02,1.751866666666666674e+02
2.730000000000000000e+02,1.745933333333333337e+02
2.740000000000000000e+02,1.739333333333333371e+02
2.750000000000000000e+02,1.735033333333333303e+02
2.760000000000000000e+02,1.730468227424749159e+02
2.770000000000000000e+02,1.726321070234113790e+02
2.780000000000000000e+02,1.722608695652174049e+02
2.790000000000000000e+02,1.715671140939597308e+02
2.800000000000000000e+02,1.709191919191919169e+02
2.810000000000000000e+02,1.703131313131313220e+02
2.820000000000000000e+02,1.704915824915825056e+02
2.830000000000000000e+02,1.706734006734006641e+02
2.840000000000000000e+02,1.708552188552188511e+02
2.850000000000000000e+02,1.710404040404040416e+02
2.860000000000000000e+02,1.710909090909090935e+02
2.870000000000000000e+02,1.710976430976431004e+02
2.880000000000000000e+02,1.711582491582491627e+02
2.890000000000000000e+02,1.711683501683501731e+02
2.900000000000000000e+02,1.711750841750841801e+02
2.910000000000000000e+02,1.710235690235690242e+02
2.920000000000000000e+02,1.708720538720538684e+02
2.930000000000000000e+02,1.707878787878787818e+02
2.940000000000000000e+02,1.706599326599326503e+02
2.950000000000000000e+02,1.707070707070706987e+02
2.960000000000000000e+02,1.704915824915825056e+02
2.970000000000000000e+02,1.704309764309764432e+02
2.980000000000000000e+02,1.706767676767676676e+02
2.990000000000000000e+02,1.709225589225589204e+02
3.000000000000000000e+02,1.711414141414141454e+02
3.010000000000000000e+02,1.707567567567567437e+02
3.020000000000000000e+02,1.700949152542372929e+02
3.030000000000000000e+02,1.702542372881355845e+02
3.040000000000000000e+02,1.704135593220339047e+02
3.050000000000000000e+02,1.698571428571428612e+02
3.060000000000000000e+02,1.697762711864406810e+02
3.070000000000000000e+02,1.696440677966101589e+02
3.080000000000000000e+02,1.694135593220339047e+02
3.090000000000000000e+02,1.692297297297297405e+02
3.100000000000000000e+02,1.690033670033670035e+02
3.110000000000000000e+02,1.683040540540540633e+02
3.120000000000000000e+02,1.674898648648648702e+02
3.130000000000000000e+02,1.666756756756756772e+02
3.140000000000000000e+02,1.658547297297297405e+02
3.150000000000000000e+02,1.650371621621621614e+02
3.160000000000000000e+02,1.643209459459459367e+02
3.170000000000000000e+02,1.631796610169491544e+02
3.180000000000000000e+02,1.624644067796610045e+02
3.190000000000000000e+02,1.617423728813559194e+02
3.200000000000000000e+02,1.610169491525423666e+02
3.210000000000000000e+02,1.601593220338982917e+02
3.220000000000000000e+02,1.593864406779661067e+02
3.230000000000000000e+02,1.583979591836734642e+02
3.240000000000000000e+02,1.578571428571428612e+02
3.250000000000000000e+02,1.570610169491525312e+02
3.260000000000000000e+02,1.563525423728813450e+02
3.270000000000000000e+02,1.554440677966101703e+02
3.280000000000000000e+02,1.545762711864406640e+02
3.290000000000000000e+02,1.532380952380952408e+02
3.300000000000000000e+02,1.519590443686006722e+02
3.310000000000000000e+02,1.517482993197278915e+02
3.320000000000000000e+02,1.515322033898304994e+02
3.330000000000000000e+02,1.507016949152542509e+02
3.340000000000000000e+02,1.499288135593220375e+02
3.350000000000000000e+02,1.492983050847457491e+02
3.360000000000000000e+02,1.485254237288135641e+02
3.370000000000000000e+02,1.478169491525423780e+02
3.380000000000000000e+02,1.471593220338982917e+02
3.390000000000000000e+02,1.465016949152542338e+02
3.400000000000000000e+02,1.458915254237288082e+02
3.410000000000000000e+02,1.453627118644067764e+02
3.420000000000000000e+02,1.448237288135593133e+02
3.430000000000000000e+02,1.442915254237288138e+02
3.440000000000000000e+02,1.437050847457627185e+02
3.450000000000000000e+02,1.431796610169491544e+02
3.460000000000000000e+02,1.425641891891891930e+02
3.470000000000000000e+02,1.422094594594594525e+02
3.480000000000000000e+02,1.418209459459459367e+02
3.490000000000000000e+02,1.413648648648648702e+02
3.500000000000000000e+02,1.409763513513513544e+02
3.510000000000000000e+02,1.405810810810810949e+02
3.520000000000000000e+02,1.400777027027027088e+02
3.530000000000000000e+02,1.397500000000000000e+02
3.540000000000000000e+02,1.393277027027027088e+02
3.550000000000000000e+02,1.389288135593220375e+02
3.560000000000000000e+02,1.384711864406779682e+02
3.570000000000000000e+02,1.381220338983050908e+02
3.580000000000000000e+02,1.377457627118644155e+02
3.590000000000000000e+02,1.374915254237288025e+02
3.600000000000000000e+02,1.375033783783783861e+02
3.610000000000000000e+02,1.370777027027027088e+02
3.620000000000000000e+02,1.367195945945945823e+02
3.630000000000000000e+02,1.359186440677966061e+02
3.640000000000000000e+02,1.350544217687074706e+02
3.650000000000000000e+02,1.342218430034129710e+02
3.660000000000000000e+02,1.334109589041095774e+02
3.670000000000000000e+02,1.325360824742268164e+02
3.680000000000000000e+02,1.316448275862069011e+02
3.690000000000000000e+02,1.313068965517241509e+02
3.700000000000000000e+02,1.308931034482758662e+02
3.710000000000000000e+02,1.306551724137931103e+02
3.720000000000000000e+02,1.302379310344827559e+02
3.730000000000000000e+02,1.299724137931034420e+02
3.740000000000000000e+02,1.297103448275861979e+02
3.750000000000000000e+02,1.294379310344827445e+02
3.760000000000000000e+02,1.290519031141868425e+02
3.770000000000000000e+02,1.287681660899654048e+02
3.780000000000000000e+02,1.282941176470588118e+02
3.790000000000000000e+02,1.278788927335640153e+02
3.800000000000000000e+02,1.274636678200692046e+02
3.810000000000000000e+02,1.270865051903114136e+02
3.820000000000000000e+02,1.267474048442906565e+02
3.830000000000000000e+02,1.263910034602076138e+02
3.840000000000000000e+02,1.260795847750865022e+02
3.850000000000000000e+02,1.258719723183391039e+02
3.860000000000000000e+02,1.256955017301037998e+02
3.870000000000000000e+02,1.255017301038062243e+02
3.880000000000000000e+02,1.252387543252595208e+02
3.890000000000000000e+02,1.252604166666666714e+02
3.900000000000000000e+02,1.251846689895470348e+02
3.910000000000000000e+02,1.251188811188811201e+02
3.920000000000000000e+02,1.250701754385964932e+02
3.930000000000000000e+02,1.255087719298245617e+02
3.940000000000000000e+02,1.259578947368421069e+02
3.950000000000000000e+02,1.269685314685314665e+02
3.960000000000000000e+02,1.274265734265734267e+02
3.970000000000000000e+02,1.278951048951048932e+02
3.980000000000000000e+02,1.284545454545454675e+02
3.990000000000000000e+02,1.285192982456140385e+02
4.000000000000000000e+02,1.285422535211267530e+02
4.010000000000000000e+02,1.288908450704225288e+02
4.020000000000000000e+02,1.288445229681978788e+02
4.030000000000000000e+02,1.286382978723404165e+02
4.040000000000000000e+02,1.284804270462633440e+02
4.050000000000000000e+02,1.282642857142857054e+02
4.060000000000000000e+02,1.282222222222222285e+02
4.070000000000000000e+02,1.284193548387096655e+02
4.080000000000000000e+02,1.283489208633093597e+02
4.090000000000000000e+02,1.282851985559566685e+02
4.100000000000000000e+02,1.281630434782608745e+02
4.110000000000000000e+02,1.280581818181818221e+02
4.120000000000000000e+02,1.279416058394160558e+02
4.130000000000000000e+02,1.282700729927007330e+02
4.140000000000000000e+02,1.280439560439560580e+02
4.150000000000000000e+02,1.277132352941176521e+02
4.160000000000000000e+02,1.271925925925925895e+02
4.170000000000000000e+02,1.268327137546468464e+02
4.180000000000000000e+02,1.265485074626865725e+02
4.190000000000000000e+02,1.270148148148148124e+02
4.200000000000000000e+02,1.271586715867158688e+02
4.210000000000000000e+02,1.272977941176470580e+02
4.220000000000000000e+02,1.272463235294117680e+02
4.230000000000000000e+02,1.275311355311355328e+02
4.240000000000000000e+02,1.278065693430656893e+02
4.250000000000000000e+02,1.279963636363636397e+02
4.260000000000000000e+02,1.276072727272727292e+02
4.270000000000000000e+02,1.272072727272727235e+02
4.280000000000000000e+02,1.267345454545454544e+02
4.290000000000000000e+02,1.263840579710144993e+02
4.300000000000000000e+02,1.261191335740072219e+02
4.310000000000000000e+02,1.263848920863309360e+02
4.320000000000000000e+02,1.266451612903225765e+02
