time,avg_delay
1.500000000000000000e+01,1.309666666666666579e+01
1.600000000000000000e+01,1.292666666666666586e+01
1.700000000000000000e+01,1.296333333333333293e+01
1.800000000000000000e+01,1.250999999999999979e+01
1.900000000000000000e+01,1.210999999999999943e+01
2.000000000000000000e+01,1.166999999999999993e+01
2.100000000000000000e+01,1.153666666666666707e+01
2.200000000000000000e+01,1.117666666666666586e+01
2.300000000000000000e+01,1.100999999999999979e+01
2.400000000000000000e+01,1.101999999999999957e+01
2.500000000000000000e+01,1.078999999999999915e+01
2.600000000000000000e+01,1.034999999999999964e+01
2.700000000000000000e+01,1.025000000000000000e+01
2.800000000000000000e+01,1.006000000000000050e+01
2.900000000000000000e+01,9.886666666666666714e+00
3.000000000000000000e+01,1.000333333333333385e+01
3.100000000000000000e+01,9.936666666666667425e+00
3.200000000000000000e+01,9.893333333333332646e+00
3.300000000000000000e+01,9.873333333333333073e+00
3.400000000000000000e+01,9.683333333333333570e+00
3.500000000000000000e+01,9.676666666666665861e+00
3.600000000000000000e+01,9.906666666666666288e+00
3.700000000000000000e+01,1.005000000000000071e+01
3.800000000000000000e+01,9.976666666666666572e+00
3.900000000000000000e+01,9.876666666666666927e+00
4.000000000000000000e+01,9.773333333333333428e+00
4.100000000000000000e+01,9.586666666666666003e+00
4.200000000000000000e+01,9.666666666666666075e+00
4.300000000000000000e+01,9.753333333333333854e+00
4.400000000000000000e+01,9.460000000000000853e+00
4.500000000000000000e+01,9.220000000000000639e+00
4.600000000000000000e+01,9.109999999999999432e+00
4.700000000000000000e+01,8.970000000000000639e+00
4.800000000000000000e+01,8.800000000000000711e+00
4.900000000000000000e+01,9.000000000000000000e+00
5.000000000000000000e+01,9.230000000000000426e+00
5.100000000000000000e+01,9.196666666666667211e+00
5.200000000000000000e+01,9.116666666666667140e+00
5.300000000000000000e+01,9.009999999999999787e+00
5.400000000000000000e+01,8.926666666666665861e+00
5.500000000000000000e+01,8.826666666666666217e+00
5.600000000000000000e+01,8.720000000000000639e+00
5.700000000000000000e+01,8.496666666666666146e+00
5.800000000000000000e+01,8.330000000000000071e+00
5.900000000000000000e+01,8.503333333333333854e+00
6.000000000000000000e+01,8.226666666666666572e+00
6.100000000000000000e+01,8.189999999999999503e+00
6.200000000000000000e+01,7.976666666666666572e+00
6.300000000000000000e+01,7.849999999999999645e+00
6.400000000000000000e+01,7.726666666666666572e+00
6.500000000000000000e+01,7.953333333333333144e+00
6.600000000000000000e+01,8.009999999999999787e+00
6.700000000000000000e+01,8.529999999999999361e+00
6.800000000000000000e+01,8.846666666666665790e+00
6.900000000000000000e+01,9.070000000000000284e+00
7.000000000000000000e+01,1.013333333333333286e+01
7.100000000000000000e+01,1.139000000000000057e+01
7.200000000000000000e+01,1.137333333333333307e+01
7.300000000000000000e+01,1.149333333333333407e+01
7.400000000000000000e+01,1.192333333333333378e+01
7.500000000000000000e+01,1.299000000000000021e+01
7.600000000000000000e+01,1.332333333333333414e+01
7.700000000000000000e+01,1.447333333333333272e+01
7.800000000000000000e+01,1.492333333333333378e+01
7.900000000000000000e+01,1.745333333333333314e+01
8.000000000000000000e+01,1.797666666666666657e+01
8.100000000000000000e+01,1.876333333333333186e+01
8.200000000000000000e+01,2.033999999999999986e+01
8.300000000000000000e+01,2.187999999999999901e+01
8.400000000000000000e+01,2.338461538461538325e+01
8.500000000000000000e+01,2.783946488294314392e+01
8.600000000000000000e+01,2.895317725752508409e+01
8.700000000000000000e+01,2.975585284280936449e+01
8.800000000000000000e+01,3.275250836120401488e+01
8.900000000000000000e+01,3.331438127090301293e+01
9.000000000000000000e+01,3.494314381270903169e+01
