time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2
1.000000000000000000e+00,8.550000000000000933e-01,1.499999999999999944e-01,1.000000000000000000e+00,6.799999999999999378e-01,1.450000000000000178e-01,1.000000000000000000e+00,4.849999999999999867e-01,5.050000000000000044e-01
3.000000000000000000e+00,8.599999999999999867e-01,1.499999999999999944e-01,3.500000000000000000e+01,6.750000000000000444e-01,1.499999999999999944e-01,1.450000000000000000e+02,4.849999999999999867e-01,5.400000000000000355e-01
5.000000000000000000e+00,8.649999999999999911e-01,1.499999999999999944e-01,3.700000000000000000e+01,6.750000000000000444e-01,1.499999999999999944e-01,1.520000000000000000e+02,4.849999999999999867e-01,5.650000000000000577e-01
7.000000000000000000e+00,8.699999999999998845e-01,1.499999999999999944e-01,3.900000000000000000e+01,6.450000000000000178e-01,1.499999999999999944e-01,1.580000000000000000e+02,4.849999999999999867e-01,5.749999999999999556e-01
9.000000000000000000e+00,8.750000000000000000e-01,1.499999999999999944e-01,4.500000000000000000e+01,6.300000000000000044e-01,1.499999999999999944e-01,1.620000000000000000e+02,4.849999999999999867e-01,6.049999999999999822e-01
1.100000000000000000e+01,8.800000000000001155e-01,1.499999999999999944e-01,4.800000000000000000e+01,6.099999999999999867e-01,1.499999999999999944e-01,1.680000000000000000e+02,4.349999999999999423e-01,5.599999999999999423e-01
1.300000000000000000e+01,8.850000000000000089e-01,1.499999999999999944e-01,5.300000000000000000e+01,6.450000000000000178e-01,1.000000000000000056e-01,1.840000000000000000e+02,4.900000000000000466e-01,6.450000000000000178e-01
1.500000000000000000e+01,8.900000000000000133e-01,1.499999999999999944e-01,6.700000000000000000e+01,5.749999999999999556e-01,1.749999999999999889e-01,2.090000000000000000e+02,4.049999999999999711e-01,5.250000000000000222e-01
1.700000000000000000e+01,8.949999999999999067e-01,1.499999999999999944e-01,9.300000000000000000e+01,6.350000000000000089e-01,5.499999999999997946e-02,2.470000000000000000e+02,5.200000000000000178e-01,6.799999999999999378e-01
1.900000000000000000e+01,9.000000000000000222e-01,1.499999999999999944e-01,1.260000000000000000e+02,5.300000000000000266e-01,1.399999999999999856e-01,2.980000000000000000e+02,3.599999999999999867e-01,5.349999999999999201e-01
2.100000000000000000e+01,8.000000000000000444e-01,1.499999999999999944e-01,1.610000000000000000e+02,5.900000000000000799e-01,2.200000000000000289e-01,3.560000000000000000e+02,4.849999999999999867e-01,7.249999999999999778e-01
4.000000000000000000e+01,9.449999999999999512e-01,1.499999999999999944e-01,1.880000000000000000e+02,4.849999999999999867e-01,1.299999999999999767e-01,4.160000000000000000e+02,5.599999999999999423e-01,6.750000000000000444e-01
6.700000000000000000e+01,8.099999999999999423e-01,1.000000000000000056e-01,2.240000000000000000e+02,5.500000000000000444e-01,2.650000000000000133e-01,4.400000000000000000e+02,4.949999999999999956e-01,7.700000000000000178e-01
1.020000000000000000e+02,7.849999999999999201e-01,1.950000000000000067e-01,2.610000000000000000e+02,4.500000000000000111e-01,2.399999999999999911e-01,4.690000000000000000e+02,4.249999999999999889e-01,7.399999999999999911e-01
1.250000000000000000e+02,7.700000000000000178e-01,7.999999999999998779e-02,2.830000000000000000e+02,5.450000000000000400e-01,3.099999999999999978e-01,4.880000000000000000e+02,4.650000000000000244e-01,8.150000000000000577e-01
1.500000000000000000e+02,8.800000000000001155e-01,9.000000000000003830e-02,3.130000000000000000e+02,6.149999999999999911e-01,2.550000000000000044e-01,5.080000000000000000e+02,3.750000000000000000e-01,7.650000000000000133e-01
1.710000000000000000e+02,9.050000000000000266e-01,2.000000000000000111e-01,3.370000000000000000e+02,6.400000000000000133e-01,2.000000000000000111e-01,5.330000000000000000e+02,4.849999999999999867e-01,8.550000000000000933e-01
1.990000000000000000e+02,8.000000000000000444e-01,2.399999999999999911e-01,3.540000000000000000e+02,6.700000000000000400e-01,2.999999999999998154e-02,5.700000000000000000e+02,3.750000000000000000e-01,8.449999999999999734e-01
2.270000000000000000e+02,9.300000000000000488e-01,2.350000000000000144e-01,3.950000000000000000e+02,5.700000000000000622e-01,2.500000000000000139e-02,5.910000000000000000e+02,5.300000000000000266e-01,8.649999999999999911e-01
2.510000000000000000e+02,8.649999999999999911e-01,2.850000000000000311e-01,4.150000000000000000e+02,5.150000000000000133e-01,7.499999999999999722e-02,6.230000000000000000e+02,5.599999999999999423e-01,7.849999999999999201e-01
2.710000000000000000e+02,7.750000000000000222e-01,2.750000000000000222e-01,4.350000000000000000e+02,4.400000000000000577e-01,1.649999999999999800e-01,6.440000000000000000e+02,5.549999999999999378e-01,9.000000000000000222e-01
2.900000000000000000e+02,8.850000000000000089e-01,3.299999999999999600e-01,4.690000000000000000e+02,4.900000000000000466e-01,2.000000000000001776e-02,6.660000000000000000e+02,4.299999999999999933e-01,9.000000000000000222e-01
3.200000000000000000e+02,7.849999999999999201e-01,3.299999999999999600e-01,5.050000000000000000e+02,3.950000000000000178e-01,5.499999999999997946e-02,6.910000000000000000e+02,3.350000000000000200e-01,8.750000000000000000e-01
3.390000000000000000e+02,7.349999999999999867e-01,2.550000000000000044e-01,5.280000000000000000e+02,3.950000000000000178e-01,1.499999999999999944e-01,7.140000000000000000e+02,4.049999999999999711e-01,9.449999999999999512e-01
3.630000000000000000e+02,7.650000000000000133e-01,3.699999999999999956e-01,5.480000000000000000e+02,3.499999999999999778e-01,5.999999999999996309e-02,7.390000000000000000e+02,2.899999999999999800e-01,8.750000000000000000e-01
3.890000000000000000e+02,8.750000000000000000e-01,3.750000000000000000e-01,5.740000000000000000e+02,3.599999999999999867e-01,1.749999999999999889e-01,7.730000000000000000e+02,4.000000000000000222e-01,9.899999999999999911e-01
4.130000000000000000e+02,7.550000000000000044e-01,4.150000000000000355e-01,5.960000000000000000e+02,3.049999999999999933e-01,5.499999999999997946e-02,8.150000000000000000e+02,4.650000000000000244e-01,9.449999999999999512e-01
